fact_id,source,gender,age,grade_letter,raisedhands,visited_resources,announcements_view,discussion,absence_days,stage,topic,gpa,absences,study_time,parental_education,parental_support,tutoring,g1,g2,g3,failures,medu,fedu,math_score,science_score,english_score,avg_score,lunch,test_prep,exam_score,attendance,hours_studied,motivation_level,internet_access,tutoring_sessions,parental_involvement,family_income,previous_scores,sleep_hours
1,xAPI,male,11,D,15,16,2,20,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
2,xAPI,male,12,C,20,20,3,25,under-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
3,xAPI,male,11,D,10,7,0,30,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
4,xAPI,male,11,C,30,25,5,35,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
5,xAPI,male,11,B,40,50,12,50,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
6,xAPI,female,12,B,42,30,13,70,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
7,xAPI,male,12,C,35,12,0,17,above-7,middleschool,math,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
8,xAPI,male,12,C,50,10,15,22,under-7,middleschool,math,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
9,xAPI,female,12,C,12,21,16,50,under-7,middleschool,math,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
10,xAPI,female,12,A,70,80,25,70,under-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
11,xAPI,male,13,A,50,88,30,80,under-7,middleschool,math,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
12,xAPI,male,12,D,19,6,19,12,under-7,middleschool,math,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
13,xAPI,male,10,D,5,1,0,11,above-7,lowerlevel,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
14,xAPI,male,13,D,20,14,12,19,above-7,middleschool,math,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
15,xAPI,female,14,A,62,70,44,60,above-7,middleschool,math,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
16,xAPI,female,14,B,30,40,22,66,under-7,middleschool,it,1.89,15,9.71,2,2,0,11,11,11,0,2,2,66,66,66,66.0,standard,none,67,80,20,medium,yes,1,medium,medium,67,7
